"username","userid","mediacount","followers","followees","bio","url"
"royadavoodian_kabaddi",39072970843,219,4123,159,"Iran National kabaddi player🇮🇷
🥇🥇🥇🥉🥉
Asian Olympic2018 Gold medalist🥇🤼‍♀️
Asian Olympic2022 Bronze medalist🥉🤼‍♀️",""
"navidomran_com",1720310687,1821,109000,140,"مهندس سلیمانی پور. پایه 1 نظارت و اجرا
نویسنده بیش از ۱۴ جلد کتاب عمران و معماری
👇آموزش صفر تا صد ساختمان حتی بدون هیچ تجربه کارگاهی👇",""
"arad.ninja",33433329361,60,26500,98,"Arad kazemi
Noshahr
Ninjutsu🥷and ski⛷️
#ninja
You don''t have to be great to start but you have to start to be great",""
"negargar_14",39054767167,415,1054,505,"کارشناس نقاشی ایرانی
آبرنگ،مدادرنگی،طراحی،نگارگری،،کودکانه وفانتزی
سفارش نقاشی پذیرفته میشود
گالری ۶۶
❤❤❤❤",""
"saeed20.6",5549402684,1042,72000,2825,"😍بامن همراه شو تا جاهای بکر لرستان رو باهم ببینیم
😉اصل داستان و جزئیات تو استوریهاست
😊 جهت هماهنگی 09027512798 ، ریز سفرهامو تو هایلایت میتونید ببینید",""
"tiime_sport",44756096998,199,3113,74,"پیج کتونی @tiime_sport2
خفن و شیک بودنتو به ما بسپار😉
📍فارس‌فیروزابادسه راه بروجردی به سمت چهارراه نظامی
۰۹۰۵۵۹۵۱۱۵۷📞
فروش حضوری و انلاین",""
"alimo_meni1363",45190675770,202,3041,994,"#لیدرمحلی
#راهنمامحلی#کوهنورد#طبیعتگرد
#عضوگروه کوهنوردان فریمان
کوهنوردوعاشق کوهستان
دوچرخه سوار
آنچه باوراست محبت است وآنچه نیست ظروف تهیست....",""
"varzesh3",460859824,32109,5099264,3,"صفحه اول و رسمی ورزش‌‌سه
👉 @varzesh3_plus 👈 صفحه دوم ورزش‌سه را هم دنبال کنید",""
"bahadormoulaei_official",1234942430,450,20698,333,"🥇طلای نوجوانان جهان ۲۰۰۹ تایلند
🥇🥈طلا و نقره جوانان جهان ۲۰۱۱و۲۰۱۲ مالزی/گوآتمالا
🥈نقره بزرگسالان جهان ۲۰۱۳ لهستان
🥈نقره المپیک دانشجویان ۲۰۱۳ روسیه",""
"ghazal_fitlife",51564489570,23,5919,230,"💪🏻💚ورزش یعنی هماهنگی روح و جسم
🤍",""
